id,token_id,nft_name,image_url,slug,last_sale_total_price,rarity,predicted_price
23139240,6538,,https://lh3.googleusercontent.com/xeCKG8mPjo0NsPjhIh4hnhMrUU7I6spQiwhVKnCh1kKoKlzlyvBg7USemwQCNGKLtpmBMQvK1MrWJCr8FCOlLQJ4_AzXhrj6PHFEuXE,boredapeyachtclub,36.0,45562625.9172757,29.55565338366906
23139961,6990,,https://lh3.googleusercontent.com/-rytXWCYtiXhrxQgHHrXWUJv8RuuSrndRSQi__6nZJY6Cz_zI0fERTkOvtgZvmruDviStYwbxYDrTit5zcESXgKDs__1ZAkbpoGzbQ,boredapeyachtclub,15.2,11569700.29825751,18.360759929949776
23140441,7323,,https://lh3.googleusercontent.com/1pLQWxvEGL-g8XaoEKqm488XvPbJIk8AVLqsIEhc4rDFUVR8dMSq-8KVjmKoaC2YRABMA-JmDCbYyKOq-RzQvtdANp6YCj6Vfu3B,boredapeyachtclub,41.999,79565420.57146655,40.75379700768811
23132402,2176,,https://lh3.googleusercontent.com/cAMxa0x47ALq4y6uEo0iXKSGM7RYMc-RqqQp-LxT4H2IwE0kkXiJYdyelIC0oOO9Dk3imAe6JSiwtKCVQxhccWMlVOTkRWtke4XVxQ,boredapeyachtclub,41.33,68500929.75337408,37.1099271855831
23032442,300,,https://lh3.googleusercontent.com/V7D9jEqA8bau3lE4b606SWLIpLI7ddRKe_SZEFXrkiIbEynvSQT_0_QrIvtxQQt3EYUGrPcUpMh2QS0l_ag9Kl3XvmGtjzqrKchNByU,boredapeyachtclub,39.696969,55287463.148238674,32.758334961464286
23137802,5502,,https://lh3.googleusercontent.com/xk-ccsxy_z0mh4o3-QcGRcw3Ndmq6fAPUxzMtV5GQ0kcFxWZQp3IFh3TBd0dS92eB_oa9JX5N4mI5CpSM9BQBbCUHkh0Wpm5RiuKnoI,boredapeyachtclub,8.45,2153364.3473522146,15.259677108298373
23136962,4968,,https://lh3.googleusercontent.com/Y2GkrttkeQzQS4YNvouTAnd2NZh8uRkMT3M_03m49H6EuWkWv46g5cKolkomO_Z_Ba1a27nwaokNh5IirIemGUtckvhWuz3RuLIKhg,boredapeyachtclub,15.5,10838116.636527596,18.119827412480138
23121963,844,,https://lh3.googleusercontent.com/jAZySQyzs1nN5AiREYqaRihl2bdIKvA1DWHiQW1AHiQ8EbyJw117WAE29x4nuAwnynPs2i7rHP-J4iPs84QNrFzfeLJQMaveoH4QvC0,boredapeyachtclub,50.0,137769226.25494212,59.92206191463522
23126163,1194,,https://lh3.googleusercontent.com/MgfrC1q1R1s0pVMSf492TyZPpBIN-VUpqixrnvD7Z4bIMchZVZRalCcqR4pv3ujWn1QWU3Klqfh8FDQc4n9HbLxv_lAj4XVbbHXP,boredapeyachtclub,45.0,71242279.16928636,38.01273605159561
23142963,9284,,https://lh3.googleusercontent.com/FTfk79oW9slsjNjAMaDnLnwzLcmqTihM3-NnBKXIyrWflLYvdIk6k8jrj2A96KXLz8UjNo-rJZ5Z0o-EgETf8OzsMU2_DIvFn18S,boredapeyachtclub,38.4999,66820129.12983516,36.556388955059745
23140564,7412,,https://lh3.googleusercontent.com/C4fy8BtUDjDb9eJaJkDJbfjg2DEm8C4fWeRt3v0Qr-jQ-RIraOxxnsqocuxQk7mxUviR0HURvnMQRU5EghodPEyn4eWmz_sJyU_e,boredapeyachtclub,14.5,8438201.820503343,17.329463235989177
